chemist	nhà hóa học
resolve	giải quyết
pure	nguyên chất
wound	vết thương
soldier	lính
outstanding	nổi bật
abundant	dồi dào
quantity	Số lượng
bitter	vị đắng
in earnest	một cách nghiêm túc
triumphant	chiến thắng
inauguration	lễ khánh thành
imitation	sự bắt chước
trustworthiness	sự đáng tin cậy
inextricably	không thể tách rời
aggressive	hung dữ
rage	cơn thịnh nộ
contingent	ngẫu nhiên
psychologist	nhà tâm lý học
caregiver	người chăm sóc
vocalization	phát âm
longitudinal	theo chiều dọc
re-enactment	tái hiện
criticize	chỉ trích
evaporate	bay hơi
correspond	tương ứng
compensation	đền bù
durable	bền
displease	không hài lòng
representation	sự biểu diễn
transitory	tạm thời
boundary	ranh giới
infallible	bất khả sai lầm
chronicle	biên niên sử
veracity	tính xác thực
tangible	hữu hình
relic	di vật
vivid	sống động
intolerable	không thể chịu đựng được
vulgarisation	sự tầm thường hóa
authenticity	tính xác thực
dwelling	nhà ở
stroll	đi dạo
nostalgia	nỗi nhớ
induce	gây ra
Interfere	Can thiệp
Hostel	Nhà trọ
Fringe	Viền ngoài
censorship	kiểm duyệt
Look forward	Mong chờ
Fixture	Đồ đạc
Ultimate	Tối thượng
Minimalist	Tối giản
minimize	giảm thiểu
Autograph	Chữ ký
cardiovascular	tim mạch
Cardiac	Tim mạch
Frankly	Thành thật mà nói
Colloquialism	Ngôn ngữ giao tiếp
Toxin	Độc tố
Ashore	Trên bờ
infest	xâm chiếm
infected	bị lây nhiễm
the inevitable	điều không thể tránh khỏi
relocate	di dời
out-of-date	lỗi thời
reach an agreement	đạt được thỏa thuận
technician	kỹ thuật viên
delighted	vui mừng
willow	cây liễu
herb	thảo mộc
keen	sắc sảo
torn	bị rách
refreshment	giải khát
wooded	có rừng
litter	rác
ranger	kiểm lâm
memo	bản ghi nhớ
co-ordinate	điều phối
jot down	ghi chú
energetic	mãnh liệt
mountainside	sườn núi
balcony	ban công
departure	sự khởi hành
belongings	đồ đạc
miniature railway	đường sắt thu nhỏ
retirement age	tuổi nghỉ hưu
squadron	phi đội
stalwart	người kiên cường
installation	lắp đặt
arena	đấu trường
mound	gò đất
weakness	sự yếu đuối
card index	chỉ mục thẻ
fix (in mind)	sửa chữa (trong tâm trí)
talk over	nói chuyện xong
environmentally-friendly	thân thiện với môi trường
rural area	khu vực nông thôn
disused	bỏ hoang
photovoltaic	quang điện
sloping	nghiêng
foam	bọt
insulation	cách nhiệt
flood	lụt
maximise	tối đa hóa
utilise	sử dụng
surplus	thặng dư
national grid	lưới điện quốc gia
reclaim	lấy lại
clinic	phòng khám
vaccinate	tiêm phòng
sport injury treatment	điều trị chấn thương thể thao
therapy	liệu pháp
acupuncture	châm cứu
heart disease	bệnh tim
cupboard	cái tủ
switch	công tắc
radiator	bộ tản nhiệt
button	cái nút
pipe	đường ống
knob	nhô lên
alarm light	đèn báo động
probably	có lẽ
washing powder	bột giặt
hang	treo
hook	cái móc
drawer	ngăn kéo
chest	ngực
Pharmacy	Nhà thuốc
assertive	quyết đoán
dispensary	trạm y tế
sparrow-hawk	chim ưng sẻ
bird of prey	chim săn mồi
endorse	tán thành
tick off	đánh dấu
seed	hạt giống
heyday	thời kỳ hoàng kim
gathering	tụ họp
class	lớp học
dot	chấm
pavilion	gian hàng
relentless	không ngừng nghỉ
climatic	khí hậu
spell	Đánh vần
gaze	ánh nhìn
far-flung	xa xôi
formation	sự hình thành
veranda	hiên nhà
pillar	trụ
storey	câu chuyện
bygone	quá khứ
disuse	không sử dụng
devastating	tàn phá
utilitarian	thực dụng
aquifer	tầng chứa nước
recede	lùi lại
crater	miệng núi lửa
embellish	trang trí
derelict	bỏ hoang
pristine	nguyên sơ
incarnation	sự hóa thân
incredibly	vô cùng
hallmark	dấu ấn
aesthetically	về mặt thẩm mỹ
vigorous	mạnh mẽ
frontier	biên giới
labour-intensive	thâm dụng lao động
relocation	di dời
await	chờ đợi
haulage	vận tải
distribution	phân bổ
in favour of	ủng hộ
imperative	bắt buộc
policy	chính sách
integrate	tích hợp
culprit	thủ phạm
ecological	sinh thái
attributable	có thể quy cho
complementary	bổ sung
revitalize	hồi sinh
curb	lề đường
ratio	tỷ lệ
occupancy	sự chiếm dụng
pricing	giá cả
cohesion	sự gắn kết
saturate	bão hòa
artery	động mạch
marked	được đánh dấu
deterioration	sự suy thoái
instinctively	theo bản năng
ambition	tham vọng 
underline	gạch chân
outperform	vượt trội
joint	chung
partnership	quan hệ đối tác
co-worker	đồng nghiệp
invariably	luôn luôn
liable	chịu trách nhiệm
overbearing	áp đặt
regrettable	đáng tiếc
interchange	trao đổi
surroundings	môi trường xung quanh
luxurious	sang trọng
state-of-the-art	công nghệ tiên tiến nhất
peer	đồng nghiệp
revolutionise	cách mạng hóa
conflicting	mâu thuẫn
veteran	cựu chiến binh
inhibit	ức chế
pervasive	lan rộng
resist	kháng cự
passivity	thụ động
formula	công thức
enigma	bí ẩn
wrestle	đấu vật
anthropological	nhân học
affluent	giàu có
middle-class	tầng lớp trung lưu
political	thuộc về chính trị
antiseptic	chất khử trùng
property	tài sản
dysentery	bệnh kiết lỵ
deduction	khoản khấu trừ
wary	thận trọng
favourable	thuận lợi
scepticism	sự hoài nghi
admiration	sự ngưỡng mộ
burst	nổ
infant	trẻ sơ sinh
halve	một nửa
alight on	hạ cánh trên
static	tĩnh
sanitation	vệ sinh
deduce	suy luận
prevalence	tỷ lệ mắc bệnh
indirectly	gián tiếp
gifted	tài năng
verbal	bằng lời nói
conversely	ngược lại
anxiety	sự lo lắng
curiosity	sự tò mò
deprived	bị tước đoạt
succinctly	một cách ngắn gọn
self-reliance	tự lực
availability	khả dụng
qualitative	chất lượng
mainly	chủ yếu
apprentice	học việc
reproduction	sinh sản
replication	sao chép
duplication	sao chép
worthlessness	vô giá trị
self-reliant	tự lực
sheer	trong suốt
harmony	hòa hợp
render	kết xuất
incomparably	vô song
monetary	tiền tệ
distressing	đau lòng
facsimile	bản sao
in awe of	ngưỡng mộ
distinctly	rõ ràng
entity	thực thể
output	đầu ra
fragmentation	sự phân mảnh
accommodation	chỗ ở
facility	cơ sở
enterprise	doanh nghiệp
amorphous	vô định hình
credible	đáng tin cậy
institutionalise	thể chế hóa
scope	phạm vi
religious	tôn giáo
gain	nhận được
aristocrat	quý tộc
pigment	sắc tố
photosynthesis	quang hợp
convert	chuyển thành
warning	cảnh báo
herbivorous	ăn cỏ
mount	gắn
infestation	sự xâm nhiễm
freezing	đóng băng
paradoxical	nghịch lý
supreme	tối cao
hue	sắc độ
overexposure	phơi nhiễm quá mức
lay	đặt nằm
captivating	quyến rũ
puzzle	câu đố
scramble	sự xáo trộn
withdraw	rút
ascertain	xác định
exquisitely	tinh tế
deficiency	thiếu hụt
acute	cấp tính
unstable	không ổn định
burial ground	nghĩa địa
grave	mộ
remains	vẫn còn
conclusively	kết luận
stubborn	bướng bỉnh
myth	thần thoại
heritage	di sản
navigational	điều hướng
courage	lòng can đảm
seafarer	thủy thủ
eternity	vĩnh cửu
prevailing	phổ biến
daring	táo bạo
span	khoảng
stretch	kéo dài
puzzling	khó hiểu
nagging	cằn nhằn
presuppose	giả định
unpredictably	không thể đoán trước
erratically	thất thường
unintentional	vô tình
eradication	diệt trừ
residential	nhà ở
preparedness	sự chuẩn bị
containment	sự ngăn chặn
sting	chích
contain	bao gồm
ulfil	hoàn thành
disapprove	không tán thành
notwithstanding	bất chấp
blaze	ngọn lửa
flame	ngọn lửa
adjunct	phụ tá
union	công đoàn
scorch	cháy xém
dilapidated	đổ nát
budgetary	ngân sách
mutual	qua lại
adequately	một cách đầy đủ
revamp	tân trang
evacuation	sơ tán
procurement	mua sắm
optimism	lạc quan
newcomer	người mới
fearlessness	không sợ hãi
shyness	sự nhút nhát
reticence	sự kín đáo
stamina	sự bền bỉ
account	tài khoản
optimist	người lạc quan
ethically	về mặt đạo đức
experimentation	thử nghiệm
temperament	tính khí
habitual	thường xuyên
rehabilitation	phục hồi chức năng
consuming	tiêu thụ
vow	lời thề
embarrass	làm xấu hổ
allegation	cáo buộc
throwback	hoài cổ
palaeontologist	nhà cổ sinh vật học
irreversible	không thể đảo ngược
partially	một phần
probability	xác suất
unusual	bất thường
reappear	xuất hiện trở lại
regain	lấy lại
accumulate	tích lũy
connotation	ý nghĩa hàm ẩn
forefather	tổ tiên
reactivate	kích hoạt lại
reversible	có thể đảo ngược
assertion	khẳng định
amphibian	lưỡng cư
plenty (of something)	nhiều (cái gì đó)
theme park	công viên giải trí
lodge	nhà nghỉ
campsite	khu cắm trại
have/has enough of sb/sth	có/đã có đủ ai đó/cái gì đó
retractable	có thể thu vào
refurbished	tân trang
fitness suite	phòng tập thể dục
trampolining	nhảy trampoline
personal assessment	đánh giá cá nhân
go through	đi qua
peak (times)	đỉnh điểm (thời gian)
reciprocal	tương hỗ
robe	áo choàng
novel	cuốn tiểu thuyết
carbon dioxide	khí cacbonic
fluid	dịch
do away with	loại bỏ
(holding) chamber	(buồng giam)
depressurise	giảm áp suất
grease	mỡ
terrific	tuyệt vời
manage (to do sth)	quản lý (làm việc gì đó)
so far	cho đến nay
detailed	chi tiết
paper	giấy
stand a chance of	có cơ hội
grant	khoản trợ cấp
fur	lông thú
log	nhật ký
fracture	gãy xương
hibernation	ngủ đông
unrestricted	không hạn chế
disappointingly	Thật đáng thất vọng
on behalf of	thay mặt cho
cut down	cắt giảm
uphill	lên dốc
sweaty	đổ mồ hôi
on schedule	đúng lịch trình
contractor	Nhà thầu
orangutans	đười ươi
fauna	động vật
Antarctic	Nam Cực
ice rink	sân trượt băng
glacier	sông băng
precious stone	đá quý
Eastward	Hướng về phía Đông
fortification	công sự
mosaics and trails	tranh khảm và đường mòn
mergers	sáp nhập
takeovers	các vụ thâu tóm
consultative	tư vấn
collaborative	hợp tác
intellectual property	sở hữu trí tuệ
put down	đặt xuống
medical condition	tình trạng y tế
dolphin	cá heo
hooked	bị mắc kẹt
elusive	khó nắm bắt
sight	thị giác
leap	nhảy vọt
vigour	sức sống
fin	vây
visualise	hình dung
curtain	tấm màn
rehearsal	buổi diễn tập
scene	bối cảnh
stay in touch	giữ liên lạc
chronic	mãn tính
obligation	nghĩa vụ
transformational	mang tính chuyển đổi
transactional	giao dịch
van	xe tải
postbox	hộp thư
itemised	liệt kê chi tiết
greasy	dầu mỡ
proper	thích hợp
plaster	thạch cao
copper	đồng
navigable	có thể điều hướng
tin	hộp thiếc
tremendous	vô cùng to lớn
prospector	người tìm kiếm khoáng sản
ore	quặng
smelt	nấu chảy
furnace	lò nung
disrepair	hư hỏng
converted	đã chuyển đổi
depth	độ sâu
ketch	ketch
board	Cái bảng
look out	coi chừng
silt	bùn
polish	đánh bóng
deck	sàn
placement	vị trí
apart from	ngoài ra
meet	gặp
in-house	nội bộ
booklet	tập sách nhỏ
go over	đi qua
nanotechnology	công nghệ nano
application	ứng dụng
minute	phút
solar cell	pin mặt trời
harnessing	khai thác
economical	tiết kiệm
contaminant	chất gây ô nhiễm
vogue	thời trang
grid	lưới
generation	thế hệ
compost	phân hữu cơ
edible	ăn được
renewal	gia hạn
sustainable	bền vững
varied	đa dạng
hurricane	cơn bão
herbicide	thuốc diệt cỏ
pesticide	thuốc trừ sâu
infectious	lây nhiễm
accommodate	chứa
drastically	một cách triệt để
proponent	người ủng hộ
sacrifice	hy sinh
horizontal	nằm ngang
take something for granted	coi điều gì đó là hiển nhiên
despoil	cướp bóc
verdant	xanh tươi
rigour	sự nghiêm ngặt
optimum	tối ưu
prohibitively	cấm đoán
navigability	khả năng điều hướng
eventual	cuối cùng
notably	đáng chú ý
assemble	lắp ráp
bolt	bu lông
owing to	do
enclose	bao gồm
lower	thấp hơn
dismantle	tháo dỡ
commemoration	kỷ niệm
submit	nộp
painstakingly	một cách tỉ mỉ
immense	bao la
opposing	phản đối
displacement	sự dịch chuyển
the stratosphere	tầng bình lưu
localise	bản địa hóa
deposit	tiền gửi
intentional	cố ý
orbit	quỹ đạo
refract	khúc xạ
algae	tảo
radiation	bức xạ
shed	túp lều
inevitable	không thể tránh khỏi
stride	bước
equivalent	tương đương
generator	máy phát điện
grand	lớn
eye-catching	bắt mắt
replenish	bổ sung
latitude	vĩ độ
scrutinise	xem xét kỹ lưỡng
cautious	thận trọng
inject	tiêm
rainfall	mưa
precipitation	sự kết tủa
politician	chính trị gia
mishandle	xử lý sai
undisciplined	thiếu kỷ luật
in conjunction with somebody/something	kết hợp với ai đó/cái gì đó
intermittently	thỉnh thoảng
feasible	khả thi
by chance	tình cờ
obstruction	tắc nghẽn
lift	thang máy
suck	hút
the seabed	đáy biển
transfer	chuyển khoản
current	hiện hành
unsatisfactory	không đạt yêu cầu
salvage	cứu hộ
stranded	bị mắc kẹt
extraterrestrial	người ngoài hành tinh
folklore	văn hóa dân gian
ancestor	tổ tiên
lush	tươi tốt
descendant	hậu duệ
civil war	nội chiến
cannibalism	ăn thịt người
assert	khẳng định
topple	lật đổ
infertile	vô sinh
doomed	bị diệt vong
decimate	tàn phá
shrivel	teo lại
steward	quản gia
abject	hèn hạ
upright	thẳng đứng
ethnographer	nhà dân tộc học
linguistic	ngôn ngữ
perceptual	nhận thức
representational	mang tính biểu tượng
neuroaesthetics	thẩm mỹ thần kinh
amygdala	hạch hạnh nhân
geometric	hình học
haphazard	ngẫu nhiên
inclination	khuynh hướng
creation	sự sáng tạo
doodle	hình vẽ nguệch ngoạc
acclaimed	được đánh giá cao
renowned	nổi tiếng
exclusively	độc quyền
flit	bay lượn
activation	kích hoạt
intriguing	thú vị
handwritten	viết tay
longevity	tuổi thọ
rotate	quay
appreciation	sự trân trọng
favour	sự ưu ái
work of art	tác phẩm nghệ thuật
mislead	lừa dối
satisfying	thỏa mãn
decipher	giải mã
deceptively	lừa bịp
eye-tracking	theo dõi mắt
meticulously	tỉ mỉ
radically	triệt để
impressionist	trường phái ấn tượng
neurological	thần kinh
pleasing	dễ chịu
repeated	lặp lại
motif	họa tiết
verification	xác minh
linger	nán lại
foolish	ngu si
subtitle	phụ đề
protective	bảo vệ
insect	côn trùng
diplomatic	ngoại giao
merchandise	hàng hóa
downfall	sự sụp đổ
cultivation	canh tác
stifle	kìm hãm
caste	đẳng cấp
rule	luật lệ
esteemed	kính trọng
fall into	rơi vào
land in	đất đai ở
fine	khỏe
thread	chủ đề
cocoon	kén
emperor	hoàng đế
silkworm	tằm
tradesman	thương gia
middlemen	người trung gian
secretive	bí mật
yarn	sợi
make up	trang điểm
recapture	bắt lại
pull out	rút ra
reel	cuộn phim
draw	vẽ tranh
weave	dệt
entitle	có quyền
prized	quý giá
unit of currency	đơn vị tiền tệ
partly	một phần
cane	gậy
conceal	che giấu
hollow	rỗng
manmade	nhân tạo
traditionally	theo truyền thống
inherit	kế thừa
identify	nhận dạng
degree	bằng cấp
allocation	phân bổ
attentiveness	sự chú ý
take no notice of	đừng để ý đến
instinctive	bản năng
coastline	đường bờ biển
converge	hội tụ
offspring	con cái
beast	quái thú
back-and-forth	qua lại
zooplankton	động vật phù du
in advance of	trước
choke off	nghẹt thở
jurisdiction	thẩm quyền
resoluteness	sự kiên quyết
dive	lặn
voraciously	một cách tham lam
handout	tài liệu phát tay
fly on	bay tiếp
cite	trích dẫn
takeoff	cởi
be likely to	có khả năng
prolonged	kéo dài
linear	tuyến tính
zigzaggy	ngoằn ngoèo
overfeed	cho ăn quá nhiều
undistracted	không bị phân tâm
temptation	cám dỗ
undeterred	không nản lòng
undivided	không phân chia
keep safe from	giữ an toàn khỏi
wait out	chờ đợi
invariance	bất biến
severity	mức độ nghiêm trọng
constriction	sự co thắt
forested	rừng rậm
biomedical	y sinh học
untangle	gỡ rối
on average	trung bình
inheritance	thừa kế
interplay	sự tương tác
heritability	tính di truyền
genetic code	mã di truyền
segment	phân đoạn
hardwired	nối dây cứng
unalterable	không thể thay đổi
mothering	làm mẹ
reflective	phản chiếu
epigenetics	di truyền học biểu sinh
schizophrenia	tâm thần phân liệt
with respect to	liên quan đến
vulnerability	lỗ hổng
fraternal twin	sinh đôi khác trứng
heredity	di truyền
advertise	quảng cáo
coin	đồng xu
surge	sự gia tăng
trailblazer	người tiên phong
live apart	sống riêng
reunite	đoàn tụ
chemical reactions	phản ứng hóa học
weaken	làm suy yếu
randomly	ngẫu nhiên
embryonic cells	tế bào phôi
revolutionize	cách mạng hóa
newborn	trẻ sơ sinh
fetus	thai nhi
rodent	loài gặm nhấm
mathematics	toán học
even	thậm chí
common sense	lẽ thường
elementary	tiểu học
bridge	cầu
allege	cáo buộc
capacity	dung tích
spectator	khán giả
tantalize	quyến rũ
chromosome	nhiễm sắc thể
sharpen	mài
testimonial	lời chứng thực
unanticipated	không lường trước được
theoretical	lý thuyết
non-scientist	người không phải nhà khoa học
necessarily	nhất thiết
in that respect	về khía cạnh đó
analytical	phân tích
structural engineer	kỹ sư kết cấu
mathematician	nhà toán học
algebra	đại số
reasoning	lý luận
aficionado	người đam mê
trigonometry	lượng giác
arithmetic	số học
leave out	bỏ qua
non-mathematical	không liên quan đến toán học
theorems	định lý
breakneck	tốc độ chóng mặt
gag	nôn mửa
whirlwind	cơn lốc xoáy
escapism	trốn tránh thực tại
frenetic	cuồng loạn
synchronous	đồng bộ
ominous	điềm báo xấu
burglary	trộm cắp
asynchronous	không đồng bộ
nuance	sắc thái
siren	còi báo động
psychic	nhà ngoại cảm
incur	phát sinh
dissonant	không hài hòa
salient	nổi bật
comprise	bao gồm
convention	quy ước
acceleration	gia tốc
creaky	tiếng kẽo kẹt
artistry	nghệ thuật
exemplify	ví dụ
dull	đần độn
evident	rõ ràng
banal	tầm thường
portray	miêu tả
magnificent	tuyệt vời
dialogue	đối thoại
underscore	gạch dưới
absurdity	sự vô lý
suspense	hồi hộp
foreshadow	báo trước
texture	kết cấu
physiognomy	nhân tướng học
persona	nhân vật
manifold	ống góp
invention	sự phát minh
originate	bắt nguồn
embark on	bắt đầu
unparalleled	vô song
foremost	hàng đầu
disclose	tiết lộ
stirring	khuấy
eloquently	một cách hùng hồn
magnitude	kích cỡ
flaw	lỗi
hymn	bài thánh ca
praise	khen
incongruity	sự không phù hợp
simplicity	sự đơn giản
marvellous	tuyệt vời
draft	bản nháp
handiwork	thủ công
configuration	cấu hình
interminable	vô tận
forager	người tìm kiếm thức ăn
sprawl	sự lan rộng
exertion	sự gắng sức
resourcefulness	khả năng tháo vát
highlight	điểm nổi bật
estrangement	sự xa lánh
tongue	lưỡi
monstrosity	quái vật
trim	cắt tỉa
colossus	người khổng lồ
thrifty	tiết kiệm
compactness	sự nhỏ gọn
enlist	nhập ngũ
nifty	tuyệt vời
contraption	thiết bị
freak	quái dị
bank	ngân hàng
do justice to	làm cho công bằng
fiddle	vĩ cầm
sweep	quét
take down	gỡ xuống
pile up	chất đống
open-air	không gian ngoài trời
frighten	làm sợ hãi
breeds	giống
hedge	hàng rào
underrepresented	ít được đại diện
fulfil	hoàn thành
metabolic rate	tốc độ trao đổi chất
plankton	sinh vật phù du
stun	choáng váng
congregate	tụ họp
overfishing	đánh bắt cá quá mức
selective	lựa chọn
election	bầu cử
courier	người chuyển phát nhanh
nominated	được đề cử
modernized	hiện đại hóa
slim	mảnh khảnh
foyer	tiền sảnh
computerized	vi tính hóa
legroom	chỗ để chân
amendment	sửa đổi
fuss	sự ồn ào
tide	thủy triều
smash	đập vỡ
geology	địa chất
symbolic	mang tính biểu tượng
run-down	xuống cấp
border	ranh giới
auditorium	hội trường
vibration	rung động
motorized	có động cơ
metaphor	ẩn dụ
intrigued	tò mò
ceramic	gốm sứ
spot	điểm
binoculars	ống nhòm
fenced off	được rào lại
shallow	nông
neighboring	lân cận
in relation to	liên quan đến
bypass	đường vòng
chain stores	chuỗi cửa hàng
cater	phục vụ
unavoidable	không thể tránh khỏi
multi-storey	nhiều tầng
adjoining	liền kề
indoor	trong nhà
shabby	tồi tàn
demolition	phá dỡ
definite	chắc chắn
procession	đám rước
ethnography	dân tộc học
flour	bột mì
respondent	người trả lời
open-minded	cởi mở
first-hand	trực tiếp
impose	áp đặt
sensational	giật gân
discern	phân biệt
locally	tại địa phương
on sale	đang giảm giá
stall	quầy hàng
look forward to	mong chờ
exhibit	triển lãm
extensive	rộng rãi
specifically	cụ thể
dress down	ăn mặc giản dị
feminine	nữ tính
esteem	sự kính trọng
safeguard	sự bảo vệ
crumbly	vụn vỡ
plough	cày
cattle	gia súc
manure	phân chuồng
long-standing	lâu đời
elastic	đàn hồi
resistant	kháng cự
seal	niêm phong
defence	phòng thủ
squash	bí ngô
cellular	tế bào
atmospheric	khí quyển
damp	ẩm ướt
strip	dải
concentration	sự tập trung
gradual	dần dần
postage	bưu phí
porcelain	sứ
individualism	chủ nghĩa cá nhân
engrossing	hấp dẫn
fulfillment	sự hoàn thành
dignify	làm cho trang trọng
amass	tích lũy
instrumental	nhạc cụ
a means to an end	một phương tiện để đạt được mục đích
fossil	hóa thạch
inferior	dưới
practitioner	người hành nghề
neatly	gọn gàng
eccentric	lập dị
motto	khẩu hiệu
apt	căn hộ
characterization	đặc trưng
the tricks of the trade	những mánh khóe trong nghề
torch	ngọn đuốc
firefighter	lính cứu hỏa
dishonest	không trung thực
creep into	len lỏi vào
arson	đốt phá
prospective	triển vọng
prosecution	truy tố
professionalization	chuyên nghiệp hóa
anew	mới
take your cue from somebody/something	Hãy dựa vào sự chỉ dẫn của ai đó/điều gì đó.
codify	mã hóa
downright	hoàn toàn
endeavor	nỗ lực
hence	kể từ đây
scrutiny	sự xem xét
supremely	tối cao
presumably	có lẽ
prosecute	truy tố
welfare	phúc lợi
noble	quý tộc
reckless	liều lĩnh
divergent	khác biệt
articulate	diễn đạt
barren	cằn cỗi
inhospitable	không hiếu khách
colonise	thuộc địa hóa
occasionally	thỉnh thoảng
ancestral	tổ tiên
settler	người định cư
historical	lịch sử
archipelago	quần đảo
exponentially	nhanh chóng
immobile	bất động
exacerbate	làm trầm trọng thêm
prey on	săn mồi
harden	cứng lại
repatriation	hồi hương
treacherous	xảo quyệt
liaison	liên lạc viên
unprecedented	chưa từng có
juvenile	thiếu niên
lumber	gỗ
regeneration	tái tạo
intersection	giao lộ
correlation	tương quan
epidemiology	dịch tễ học
vulnerable	dễ bị tổn thương
the front line	tiền tuyến
respiratory	hô hấp
asthma	hen suyễn
eyesight	thị lực
categorise	phân loại
discrepancy	sự khác biệt
malaria	sốt rét
altitude	độ cao
eradicate	xóa bỏ
usefulness	tính hữu ích
industrialisation	công nghiệp hóa
expansion	sự mở rộng
polio	bệnh bại liệt
phase	giai đoạn
anticipate	dự đoán
emphasise	nhấn mạnh
betray	phản bội
symptom	triệu chứng
dilate	giãn nở
conductance	độ dẫn điện
innovative	đổi mới
simplistic	đơn giản
unnecessarily	không cần thiết
impressively	ấn tượng
musicologist	nhà âm nhạc học
evoke	gợi lên
poignant	xúc động
embody	thể hiện
symphony	bản giao hưởng
neuroscientist	nhà thần kinh học
purely	hoàn toàn
repeal	bãi bỏ
underpinning	nền tảng
request	lời yêu cầu
narrow down	thu hẹp lại
virtually	hầu như
precede	đi trước
climax	cao trào
labyrinth	mê cung
studious	chăm chỉ
submission	nộp
flirtation	tán tỉnh
dissect	mổ xẻ
rhythmic	nhịp điệu
harmonic	hài hòa
ingenious	khéo léo
suspenseful	hồi hộp
coating	lớp phủ
impurity	tạp chất
empire	đế chế
occurrence	sự việc
counter	quầy tính tiền
capable	có khả năng
automate	tự động hóa
fiercely	dữ dội
container	thùng chứa
brilliance	sự xuất sắc
invaluable	vô giá
optical	quang học
astronomical	thiên văn
horticultural	làm vườn
quarry	mỏ đá
reintroduce	giới thiệu lại
striking	nổi bật
arbitrary	tùy ý
assemblage	tập hợp
opposition	phe đối lập
vision	tầm nhìn
enormously	vô cùng
subsidy	trợ cấp
efficiently	hiệu quả
conservationist	nhà bảo tồn
charismatic	lôi cuốn
unmistakable	không thể nhầm lẫn
restoration	phục hồi
denude	cởi bỏ
trawl	lưới kéo
dredge	nạo vét
insistence	sự khăng khăng
impenetrable	không thể xuyên thủng
catalyse	xúc tác
governance	quản trị
meltdown	sự tan chảy
prolong	kéo dài
regulator	cơ quan quản lý
auditor	kiểm toán viên
knock-on	sự va chạm
effectiveness	hiệu quả
devolve	chuyển đổi
remuneration	tiền lương
tyranny	chuyên chế
quarterly	hàng quý
insatiable	không bao giờ thỏa mãn
incentivise	khuyến khích
chief	trưởng
shareholder	cổ đông
underperform	hoạt động kém hiệu quả
binding	liên kết
resign	từ chức
mortality	tỷ lệ tử vong
